,organism,transcripts,length,av_length,pident,av_pident,D_wasps,H_wasps,Mites,classification,family,host
1,Hubei picorna-like virus 15,2,114 - 1329,551.5,85.522 - 94.883,90.8555,1,1,1,unclassified-RNA,unclassified,arthropods
2,Murmansk poxvirus,1,762,762,65.486,65.486,1,1,0,dsDNA,poxviridae,vertebrates
4,Cowpox virus,2,407 - 779,593,53.317 - 71.887,62.602,0,0,1,dsDNA,poxviridae,vertebrates
5,Washington bat picornavirus,1,106 - 1894,722.8,54.286 - 57.132,55.3178,1,1,0,ssRNA+,picornaviridae,vertebrates
6,Bat badicivirus 1,1,795,795,53.333,53.333,1,1,0,unclassified,unclassified,vertebrates
7,Eptesipox virus,2,124 - 753,438.5,70.784 - 76.613,73.6985,1,1,1,dsDNA,poxviridae,vertebrates
8,Prochlorococcus phage P-HM2,1,720,720,50.278,50.278,1,1,0,dsDNA,myoviridae,bacteria
9,Rosellinia necatrix partitivirus 2,1,568 - 568,568,57.923 - 57.923,57.923,0,0,1,dsRNA,partitiviridae,plants
10,Melanoplus sanguinipes entomopoxvirus,1,462,462,55.628,55.628,1,1,0,dsDNA,poxviridae,arthropods
11,Lymantria xylina nucleopolyhedrovirus,1,325,325,75.692,75.692,1,1,0,dsDNA,baculoviridae,arthropods
12,Spodoptera litura nucleopolyhedrovirus,1,327 - 327,327,72.477 - 72.477,72.477,0,0,1,dsDNA,baculoviridae,arthropods
13,Hubei tetragnatha maxillosa virus 3,1,435,435,55.172,55.172,0,1,0,unclassified-RNA,unclassified,arthropods
14,Synechococcus phage S-SKS1,1,335,335,64.478,64.478,1,1,0,dsDNA,siphoviridae,bacteria
15,Wenzhou sobemo-like virus 4,1,448,448,52.232,52.232,1,1,0,unclassified-RNA,unclassified,arthropods
16,Acanthocystis turfacea chlorella virus 1,1,344,344,63.081,63.081,0,0,1,dsDNA,phycodnaviridae,algae
17,Choristoneura fumiferana granulovirus,1,478,478,52.092,52.092,1,1,0,dsDNA,baculoviridae,arthropods
18,Lausannevirus,1,409 - 409,409,51.834 - 52.323,52.0785,1,1,1,dsDNA,marseilleviridae,protozoa
19,Y73 sarcoma virus,1,135 - 464,351.5,53.017 - 69.63,60.916,1,1,1,retrovirus,retroviridae,vertebrates
20,Neodiprion sertifer nucleopolyhedrovirus,1,376,376,54.521,54.521,1,1,0,dsDNA,baculoviridae,arthropods
21,Macropodid alphaherpesvirus 1,1,318,318,63.836,63.836,0,0,1,dsDNA,herpesviridae,vertebrates
22,Fujinami sarcoma virus,1,368,368,54.62,54.62,0,0,1,retrovirus,retroviridae,vertebrates
23,Vaccinia virus,2,172 - 531,351.5,51.224 - 61.628,56.426,1,1,1,dsDNA,poxviridae,vertebrates
24,Micromonas pusilla virus 12T,2,107 - 628,352.2,50.467 - 66.851,56.451,1,1,1,dsDNA,phycodnaviridae,algae
25,Only Syngen Nebraska virus 5,2,119 - 660,389.5,50.152 - 52.101,51.1265,1,0,1,dsDNA,phycodnaviridae,algae
26,Abelson murine leukemia virus,1,137 - 400,212.25,51.007 - 94.891,72.78325,1,1,1,retrovirus,orthoretroviridae,vertebrates
27,Pandoravirus dulcis,1,290,290,53.793,53.793,0,0,1,dsDNA,unclassified,protozoa
28,Hubei sobemo-like virus 28,1,335,335,51.642,51.642,1,1,0,unclassified-RNA,unclassified,arthropods
29,Prochlorococcus phage P-TIM68,1,246 - 352,324.25,51.705 - 56.098,53.0615,1,1,1,dsDNA,myoviridae,bacteria
30,Friend murine leukemia virus,2,161 - 183,172,93.789 - 93.989,93.889,1,1,1,retrovirus,orthoretroviridae,vertebrates
31,Bathycoccus sp. RCC1105 virus BpV1,1,101 - 633,274.2222222,50.626 - 84.158,64.67083333,1,1,1,dsDNA,phycodnaviridae,algae
32,Abalone herpesvirus Victoria/AUS/2009,1,261,261,59.004,59.004,1,1,0,dsDNA,malacoherpesviridae,molluscs
33,Grapevine rupestris vein feathering virus,1,105 - 649,209.1111111,66.667 - 83.333,73.91277778,1,1,0,ssRNA+,tymoviridae,arthropods
34,PreXMRV-1,1,223,223,73.094,73.094,1,1,0,retrovirus,orthoretroviridae,vertebrates
35,Turkeypox virus,1,260,260,55.385,55.385,1,1,0,dsDNA,poxviridae,vertebrates
36,Chrysochromulina ericina virus,5,101 - 609,237.8076923,50.476 - 81.034,63.55592308,1,1,1,dsDNA,phycodnaviridae,algae
37,Wuhan spider virus 2,1,128 - 636,250.1428571,50.781 - 61.991,55.52185714,1,1,0,unclassified-RNA,unclassified,arthropods
38,Streptococcus phage 20617,1,182 - 436,309,50.229 - 53.297,51.763,1,1,1,dsDNA,siphoviridae,bacteria
39,Hubei picorna-like virus 46,1,104 - 479,220.25,51.128 - 70.909,61.73025,0,1,0,unclassified-RNA,unclassified,arthropods
