gene_id,vespula_Diseased_1,vespula_Diseased_2,vespula_Diseased_3,vespula_Healthy_1,vespula_Healthy_2,vespula_Healthy_3
FUN_012681,425,541,461,732,535,255
FUN_012680,51,79,143,159,60,0
FUN_012683,54,97,45,62,78,47
FUN_012682,483,877,761,456,442,435
FUN_012685,0,0,0,0,0,0
FUN_012684,328,444,624,760,822,336
FUN_012687,0,0,0,0,0,0
FUN_012686,0,0,0,0,0,0
FUN_012689,0,0,0,0,0,0
FUN_012688,0,0,0,0,0,0
FUN_001528,1,3,2,6,1,4
FUN_008791,52,53,40,374,180,0
FUN_003348,13,37,21,38,46,18
FUN_003349,321,326,340,333,258,38
FUN_003346,3,0,5,5,4,0
FUN_003347,820,1393,880,1708,1557,91
FUN_003344,63,90,61,30,54,0
FUN_003345,20,0,3,5,2,0
FUN_003342,305,356,510,291,333,51
FUN_003343,135,167,180,78,104,13
FUN_003340,650,860,798,985,562,24
FUN_003341,467,608,543,432,357,97
FUN_011798,0,0,0,0,0,0
FUN_011799,9,8,12,11,3,0
FUN_004314,668,674,797,606,573,25
FUN_011792,0,0,0,0,0,0
FUN_011793,0,0,0,0,0,0
FUN_011790,78,305,64,87,59,2
FUN_008814,89,69,75,51,39,10
FUN_011796,0,0,0,0,0,0
FUN_011797,0,0,0,0,0,0
FUN_011794,0,0,0,0,0,0
FUN_011795,0,0,0,0,0,0
FUN_008891,52,72,47,80,37,11
FUN_000414,0,0,0,0,0,0
FUN_007783,81,27,52,100,109,46
FUN_014452,114,36,40,24,91,0
FUN_014453,185,230,245,768,468,15
FUN_014450,1019,1090,1057,1655,1277,180
FUN_013331,44,0,0,0,0,0
FUN_013488,0,0,0,0,0,0
FUN_014457,1169,1817,1344,1992,1084,2160
FUN_014454,247,267,274,263,197,56
FUN_013335,208,126,289,97,121,23
FUN_013484,0,0,0,0,0,0
FUN_013485,0,0,0,0,0,0
FUN_013338,103,168,196,220,194,36
FUN_013339,1136,964,1319,1077,894,54
FUN_013480,270,154,237,212,266,19
FUN_013481,0,0,0,0,0,0
FUN_013482,0,3,0,3,3,0
FUN_007787,607,889,672,3236,1851,54
FUN_001616,0,0,0,0,0,0
FUN_001617,0,0,0,0,0,0
FUN_001614,0,0,0,0,0,0
FUN_001615,2,0,0,0,0,0
FUN_001612,2,0,0,0,0,0
FUN_001613,0,0,0,0,0,0
FUN_001610,0,0,0,0,0,0
FUN_001611,0,0,0,0,0,0
FUN_007335,18,18,10,8,9,0
FUN_001618,0,0,0,0,0,0
FUN_001619,3,0,0,0,4,0
FUN_010827,79,65,98,74,117,11
FUN_010826,3,0,5,2,2,0
FUN_010825,41,31,68,39,70,0
FUN_010824,20,20,6,5,0,0
FUN_010823,0,0,0,0,0,0
FUN_011429,739,870,672,1042,1406,158
FUN_010821,0,0,0,0,0,0
FUN_008038,410,246,337,390,267,0
FUN_011424,39,29,26,56,58,10
FUN_007333,59,41,89,92,112,159
FUN_011426,145,132,182,354,345,143
FUN_011427,222,171,286,343,381,244
FUN_011420,141,0,13,13,6,0
FUN_011421,260,77,67,77,57,17
FUN_011422,15,13,18,15,8,5
FUN_010828,91,107,110,81,131,24
FUN_003968,854,771,595,970,1606,6922
FUN_003969,40,15,41,74,95,32
FUN_007331,0,0,0,0,0,0
FUN_003962,78,66,106,69,98,17
FUN_003963,278,28,60,41,83,0
FUN_003960,44,45,112,38,87,63
FUN_003961,845,486,872,1074,1030,404
FUN_003966,363,243,487,281,297,19
FUN_003967,86,61,97,93,94,39
FUN_003964,190,89,224,129,143,12
FUN_003965,173,153,409,193,289,291
FUN_013156,0,0,0,0,0,0
FUN_013157,25,7,15,7,15,18
FUN_013154,0,0,0,0,0,0
