sample,condition,x,pathogen
Diseased_1,Diseased,2.51524546,Aspergillus spp.
Diseased_2,Diseased,0.10460328,Aspergillus spp.
Diseased_3,Diseased,1.107776368,Aspergillus spp.
Healthy_1,Healthy,0.000643427,Aspergillus spp.
Healthy_2,Healthy,0.000198075,Aspergillus spp.
Healthy_3,Healthy,0.007908757,Aspergillus spp.
Diseased_1,Diseased,0.051558017,Kashmir bee virus
Diseased_2,Diseased,0.021474522,Kashmir bee virus
Diseased_3,Diseased,0.034146444,Kashmir bee virus
Healthy_1,Healthy,0.045878885,Kashmir bee virus
Healthy_2,Healthy,0.010090087,Kashmir bee virus
Healthy_3,Healthy,0.012977641,Kashmir bee virus
