1. thymidylate synthase [Saimiriine gammaherpesvirus 2],NP_040272.1,GI:9626026
"2. RNA-dependent DNA polymerase, partial [Friend murine leukemia virus]",NP_040333.1,GI:9626097
3. envelope protein [Friend murine leukemia virus],NP_040334.1,GI:9626099
4. P68 protein [UR2 sarcoma virus],NP_042289.1,GI:9627733
5. ubiquitin-conjugating enzyme [African swine fever virus],NP_042834.1,GI:9628248
6. hypothetical protein [Murine type C retrovirus],NP_043519.1,GI:9628656
7. p110 [Avian myelocytomatosis virus],NP_045935.1,GI:9629901
8. superoxide dismutase [Lymantria dispar multiple nucleopolyhedrovirus],NP_047782.1,GI:9631112
"9. ORF MSV235 putative CPD photolyase, similar to Monodelphis domestica GB:D31902 [Melanoplus sanguinipes entomopoxvirus]",NP_048306.1,GI:9631430
10. HAL3 domain [Fowlpox virus],NP_039077.1,GI:9634784
11. MTW1215 [Methanothermobacter wolfeii],NP_071838.1,GI:11863121
12. EsV-1-182 [Ectocarpus siliculosus virus 1],NP_077667.1,GI:13242652
13. RR2B [Spodoptera litura nucleopolyhedrovirus],NP_258331.1,GI:15617531
14. ubiquitin-like protein [Murine osteosarcoma virus],NP_598374.1,GI:19431841
15. CPXV083 protein [Cowpox virus],NP_619870.1,GI:20178449
16. CPXV188 protein [Cowpox virus],NP_619970.1,GI:20178549
17. nonstructural protein precursor [Himetobi P virus],NP_620560.1,GI:20451019
"18. capsid protein precursor, partial [Himetobi P virus]",NP_620561.1,GI:20451020
19. EVM057 [Ectromelia virus],NP_671575.1,GI:22164662
"20. capsid protein precursor, partial [Aphid lethal paralysis virus]",NP_733846.1,GI:24943169
21. non-structural polyprotein [Kashmir bee virus],NP_851403.1,GI:30793780
22. CNPV068 GNS1/SUR4-like protein [Canarypox virus],NP_955091.1,GI:40556006
23. ABL [Abelson murine leukemia virus],NP_955595.1,GI:40796142
24. MYC [Avian myelocytomatosis virus],NP_955602.1,GI:40796149
25. FBS [Fujinami sarcoma virus],NP_955606.1,GI:40796153
26. ORF007 dUTPase [Bovine papular stomatitis virus],NP_957916.1,GI:41057443
27. methyltransferase 1 [Neodiprion sertifer nucleopolyhedrovirus],YP_025112.1,GI:48843539
28. hypothetical protein ORF076L [Singapore grouper iridovirus],YP_164171.1,GI:56692713
29. thymidine kinase [Vaccinia virus],YP_232976.1,GI:66275891
30. ATP-dependent DNA ligase [Vaccinia virus],YP_233058.1,GI:66275973
31. polyprotein [Deformed wing virus],NP_853560.2,GI:71480056
"32. structural polyprotein, partial [Kashmir bee virus]",NP_851404.2,GI:73747918
33. putative endonuclease [Emiliania huxleyi virus 86],YP_293772.1,GI:73852488
34. polyprotein [Kelp fly virus],YP_415507.1,GI:82703945
35. protein-tyrosine kinase [Y73 sarcoma virus],YP_628286.1,GI:108737104
36. unknown [Choristoneura fumiferana granulovirus],YP_654431.1,GI:109255282
37. superoxide dismutase [Spodoptera frugiperda multiple nucleopolyhedrovirus],YP_001036340.1,GI:125860170
38. hypothetical protein FR483_N091R [Paramecium bursaria Chlorella virus FR483],YP_001425723.1,GI:155370189
39. hypothetical protein FR483_N733R [Paramecium bursaria Chlorella virus FR483],YP_001426365.1,GI:155370831
40. hypothetical protein ATCV1_Z804L [Acanthocystis turfacea chlorella virus 1],YP_001427285.1,GI:155371751
41. hypothetical protein AR158_C292R [Paramecium bursaria Chlorella virus AR158],YP_001498373.1,GI:157953482
42. semaphorin-like protein [Oryctes rhinoceros nudivirus],YP_002321389.1,GI:213159346
43. RR2b [Lymantria xylina nucleopolyhedrovirus],YP_003517877.1,GI:292397811
44. Vs.6 conserved hypothetical protein [Escherichia virus RB16],YP_003858379.1,GI:304373634
45. putative ubiquitin-conjugating enzyme E2 [Cafeteria roenbergensis virus BV-PW1],YP_003969690.1,GI:310831047
46. putative ubiquitin-conjugating enzyme E2 [Cafeteria roenbergensis virus BV-PW1],YP_003969734.1,GI:310831091
